,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Rockys Pizzeria,40.6461233,-73.97110409999999,2022-0303,2022,3.00,$3.00,Plain
,Luigi's Pizza,40.57851960000001,-73.95800799999999,2022-0226,2022,3.00,$3.00,Plain
,The Original Pizza Sam,40.7560589,-73.87854229999999,2022-0218,2022,3.27,$3.27,Plain
,Sal Pizza,40.7045071,-73.919242,2022-0205,2022,2.75,$2.75,Plain
,Bad Boys Pizza,40.60351362,-73.9865831,2022-0204,2022,3.50,$3.50,Stuffed Crust Plain
,Mama Mia Pizzeria,40.5965296,-73.9939644,2022-0204,2022,3.00,$3.00,Plain
,Spiro's Cafe & Pizza,40.654758,-74.004358,2022-0203,2022,2.75,$2.75,Plain
,La Vera Pizza & Restaurant 2447 Broadway New York 10025,40.79120080000001,-73.9748165,2022-0128,2022,2.75,$2.75,Plain
,Lenny And Johns Pizzeria,40.6201361,-73.9345585,2022-0121,2022,3.00,$3.00,Plain
,My Place Family Pizza,40.8691518,-73.8896161,2022-0120,2022,3.00,$3.00,Plain
,Yankee J-Z Pizza Inc,40.8294396,-73.87575,2022-0120,2022,3.00,$3.00,Plain
,Circle Pizza,40.8324594,-73.8610744,2022-0119,2022,3.00,$3.00,Plain
,Daisy's Pizza Place Inc,40.81692834,-73.89787505,2022-0118,2022,2.50,$2.50,Plain
,Sam's Famous Pizza 116th,40.798309,-73.941632,2022-0115,2022,3.00,$3.00,Plain
,La Loteria Pizzeria,40.854174,-73.89900999999999,2022-0114,2022,3.00,$3.00,Plain
,Monte Pizza ,40.85994,-73.89395,2022-0110,2022,3.00,$3.00,Plain
,Natalie pizza,40.7078242,-73.8030173,2022-0107,2022,2.50,$2.50,Plain
,Rosebank Pizza,40.61008,-74.06334,2022-0107,2022,3.00,$3.00,Plain
,Samaria Pizzeria,40.76566391,-73.93079401,2022-0106,2022,2.75,$2.75,Plain
,Pizza Italia,40.822888,-73.84862,2021-1231,2021,5.00,$5.00,Jumbo
,Gianni Pizza of Jackson Heights,40.7557169,-73.8857946,2021-1225,2021,3.00,$3.00,Plain
,Gianni Pizza of Jackson Heights,40.75577,-73.88578,2021-1224,2021,3.00,$3.00,Plain
